1,2,3,4,
8,5,6,7,
11,12,9,10,
14,15,16,13,
1,2,3,4,
8,5,6,7,
11,12,9,10,
14,15,16,13,
12,10,4,5,
10,262141,0,10,
0,9,20,0,
5,262133,262136,262136,
317,339,318,412,
263,301,254,129,
176,252,305,411,
261816,262020,261867,261691,
261840,261807,261855,261737,
261900,261855,261896,262025,
261979,261896,261846,261750,
346,145,285,462,
261840,261855,261846,462,
346,261807,261896,261750,
261979,145,261855,262025,
261900,261896,285,261737,
261840,261845,261868,458,
347,261817,261896,261743,
261979,128,261833,262032,
261899,261913,285,261741,
